Local time,Open,High,Low,Close,Volume
01.08.2023 04:32:00.000 GMT+0200,1.09829,1.09830,1.09826,1.09826,49.25
01.08.2023 04:33:00.000 GMT+0200,1.09826,1.09826,1.09824,1.09824,135.54
01.08.2023 04:34:00.000 GMT+0200,1.09823,1.09824,1.09814,1.09817,113.1
01.08.2023 04:35:00.000 GMT+0200,1.09818,1.09826,1.09818,1.09825,167.1
01.08.2023 04:36:00.000 GMT+0200,1.09826,1.09832,1.09824,1.09826,114.59
01.08.2023 04:37:00.000 GMT+0200,1.09826,1.09831,1.09826,1.09829,48.33
01.08.2023 04:38:00.000 GMT+0200,1.09830,1.09840,1.09829,1.09836,167.46
01.08.2023 04:39:00.000 GMT+0200,1.09836,1.09836,1.09833,1.09835,166.31
01.08.2023 04:40:00.000 GMT+0200,1.09836,1.09837,1.09829,1.09829,163.19
01.08.2023 04:41:00.000 GMT+0200,1.09831,1.09834,1.09829,1.09831,146.06
01.08.2023 04:42:00.000 GMT+0200,1.09831,1.09833,1.09828,1.09832,45.45
01.08.2023 04:43:00.000 GMT+0200,1.09833,1.09834,1.09829,1.09830,79.42
01.08.2023 04:44:00.000 GMT+0200,1.09830,1.09830,1.09827,1.09827,31.53
01.08.2023 04:45:00.000 GMT+0200,1.09829,1.09835,1.09829,1.09831,65.3
01.08.2023 04:46:00.000 GMT+0200,1.09830,1.09831,1.09828,1.09830,45.68
01.08.2023 04:47:00.000 GMT+0200,1.09828,1.09830,1.09825,1.09827,18.68
01.08.2023 04:48:00.000 GMT+0200,1.09827,1.09830,1.09823,1.09830,14.67
01.08.2023 04:49:00.000 GMT+0200,1.09829,1.09830,1.09825,1.09825,20.45
01.08.2023 04:50:00.000 GMT+0200,1.09825,1.09829,1.09823,1.09824,59.58
01.08.2023 04:51:00.000 GMT+0200,1.09823,1.09823,1.09817,1.09820,63.55
01.08.2023 04:52:00.000 GMT+0200,1.09819,1.09825,1.09819,1.09825,73.92
01.08.2023 04:53:00.000 GMT+0200,1.09826,1.09826,1.09819,1.09822,109.57
01.08.2023 04:54:00.000 GMT+0200,1.09823,1.09834,1.09823,1.09834,132.75
01.08.2023 04:55:00.000 GMT+0200,1.09832,1.09834,1.09826,1.09828,178.05
01.08.2023 04:56:00.000 GMT+0200,1.09827,1.09836,1.09827,1.09836,130.79
01.08.2023 04:57:00.000 GMT+0200,1.09839,1.09841,1.09839,1.09841,6.39
01.08.2023 04:58:00.000 GMT+0200,1.09839,1.09851,1.09837,1.09851,127.14
01.08.2023 04:59:00.000 GMT+0200,1.09853,1.09855,1.09850,1.09850,104.52
